customer_id,avg_monthly_usage_gb,usage_trend_percent,peak_hour_usage_ratio,service_outages_3months,avg_download_speed_mbps,network_stability_score,call_drops_per_month,cs_tickets_3months,avg_resolution_time_hours,unresolved_tickets,last_ticket_satisfaction,usage_change_3months,service_downgrades_6months,missed_payments_6months,payment_amount_trend,service_cancellation_attempts,support_requests_30days,negative_feedback_count,last_interaction_sentiment,interaction_frequency_trend,chat_support_satisfaction,service_quality_score,service_interruptions_30days,avg_interruption_duration_mins,service_level_achievement,customer_engagement_score,app_usage_frequency_change,feature_usage_breadth,service_exploration_score,social_media_sentiment_score,social_media_mentions_30days,community_forum_activity,public_complaint_posts,previous_churns,years_as_customer,historical_satisfaction_avg,complaint_history_score,nps_score,satisfaction_surveys_completed,last_survey_rating,would_recommend_score,contract_type,monthly_bill_amount,last_interaction_date,customer_segment,recent_complaint_text,dissatisfaction_level,primary_dissatisfaction_reason
11,13.91105392,-16.72743349,0.22016816,2,137.3694045,67.77094284,7,6,59.0673971,0,2.04963129,-41.30343061,2,1,-3.085195371,0,4,0,0.191005201,3.059293662,3.399364885,50.06217194,9,93.49647082,0.740938565,70.90866814,46.72034558,3.096928473,41.04418903,0.542363392,9,4.450082502,1,0,6.871331768,3.02431304,65.08354462,93,2,4.489824791,6.95586348,annual,143.4169828,49:46.6,Basic,Coverage is spotty in my area,2,Usage Issues
12,194.2828719,29.26008048,0.237591922,2,87.02478496,77.88804129,10,6,25.58488895,3,4.038885315,-9.435407205,1,0,6.779229855,0,5,3,0.449418975,-2.400835261,1.13278526,88.2806642,2,72.66944124,0.799569639,78.5267561,16.16114965,4.47968973,9.50937998,-0.776587756,7,5.332833394,1,1,5.203207272,4.31015794,57.93862091,38,0,9.108122401,5.323430479,monthly,131.2333925,49:46.6,Business,Long wait times for support,0,None
13,168.1641018,26.64356038,0.743862472,1,31.48749571,93.19285059,14,3,58.34948982,3,4.09458958,-3.440699787,1,0,-19.31393277,1,9,0,-0.109360764,-1.993794401,1.326366522,86.98974963,8,29.12056204,0.979601915,8.50324535,40.4995226,5.751067456,24.23764596,-0.178623657,8,2.66082832,0,1,7.447204398,3.565203245,98.02647501,-77,1,4.076514277,9.554881305,monthly,89.90063625,49:46.6,Business,Bill is too high for the service quality,2,Service Experience
14,50.34443103,-27.63439132,0.283547223,3,25.24183577,86.18901394,8,8,26.30372545,1,2.822465496,-19.27638819,1,5,12.80614635,0,7,0,-0.879268313,1.611542697,2.92635622,50.48654801,12,63.08974969,0.976413722,58.27651134,-32.12414965,5.752246157,37.67593433,0.634892005,6,8.989474455,1,1,5.447057029,2.054177886,28.06405201,-51,0,1.077794393,0.369176431,2-year,189.3212764,49:46.6,Premium,Coverage is spotty in my area,2,Service Experience
15,44.54674377,12.33451035,0.519452409,7,88.58850345,76.44816269,1,7,8.167285396,1,3.447616339,16.72170237,1,2,15.19192229,1,2,0,0.595198699,1.955851743,2.624688052,68.48021488,0,28.02142303,0.672349615,82.11421269,-1.676384375,7.85563212,54.0643248,0.390697993,5,4.437121171,4,1,3.854563052,3.229752126,6.525429061,-13,3,5.65318388,2.920487458,2-year,87.41484804,49:46.6,Basic,Bill is too high for the service quality,1,Billing Problems
16,44.84685687,25.51489904,0.446657362,0,115.4731237,86.53450136,4,0,69.29406495,2,2.494078657,-7.425070933,0,5,14.28801337,1,1,2,-0.930002317,2.040996844,3.424709223,80.33738452,14,96.96137041,0.674058617,86.15903528,40.86616698,4.229180714,23.05668822,-0.987914606,6,8.146140536,1,0,4.358048325,1.256764504,51.60104329,-80,4,5.723091425,0.695089173,monthly,172.096104,49:46.6,Business,Service is terrible! Constant drops,2,Service Experience
17,67.80602616,-19.16547929,0.408405996,0,118.3183189,64.72889648,13,1,47.33474308,3,3.8077888,-34.60003694,0,1,-4.997824525,1,2,1,0.401315658,1.826985048,2.755391239,72.63753259,14,46.43532954,0.665352583,2.863170473,-17.73879386,7.451182264,22.75626612,-0.193935331,6,0.797342751,3,0,8.385013395,3.323162243,42.40178338,52,0,2.078507645,8.791976352,monthly,98.73239671,49:46.6,Basic,Long wait times for support,1,Service Experience
18,109.703722,4.076713833,0.739900007,4,44.98482364,76.05990442,6,1,33.38306639,0,4.342886387,-16.45486198,0,1,-1.520019705,1,8,2,-0.954156854,-1.07192283,4.736307397,88.89930594,10,100.043666,0.915568773,93.91592326,46.76641981,6.202826549,77.78299791,-0.916144966,2,7.882466285,2,1,5.632735581,2.558655318,45.42900491,31,0,3.114672161,5.939011537,2-year,160.4212803,49:46.6,Basic,Long wait times for support,1,Network Quality
19,92.06955354,24.92929786,0.213094038,4,34.61578004,91.72514152,14,7,29.24190796,0,3.752933109,-2.721689401,1,3,-19.50446712,1,5,1,0.724610473,-1.051463256,3.138958862,71.27291663,9,45.79310616,0.602408816,4.33387333,-40.29225095,9.656608641,96.26416629,0.346999722,5,4.902431423,4,0,3.772961482,1.393593968,62.01048383,24,2,8.051460319,5.349696124,annual,185.0192456,49:46.6,Business,Long wait times for support,1,Service Experience
20,65.33353664,-27.96324128,0.598273812,0,7.429664151,68.82035149,5,0,24.05407873,0,3.050330507,-27.34596128,1,0,-4.024186078,1,9,3,-0.684727928,-2.451823764,3.774904246,57.69314847,6,98.89792862,0.650870879,61.45186797,40.26711703,4.467564334,32.36129678,0.937896984,5,0.054078797,0,0,1.797431516,2.229855812,61.51216366,-58,3,1.330802422,1.314578921,2-year,109.1532099,49:46.6,Premium,Great customer service experience,2,Service Experience
21,126.25205,11.84521603,0.778036661,5,103.4838769,67.4384603,5,3,70.68277928,2,2.834631838,-44.42508756,2,3,-1.582927105,0,3,3,0.028542991,-3.431663001,4.585941091,98.82078121,0,39.99813782,0.815183853,69.33875276,-5.478787793,9.110948178,68.79920186,0.310522525,8,2.26262939,4,0,4.953578422,4.59234797,39.22642933,74,2,5.40574018,4.890322573,2-year,119.4429861,49:46.6,Basic,Happy with the service overall,1,Usage Issues
22,36.50383352,-12.15905956,0.53610091,0,16.10239747,98.0327464,6,9,10.56705582,2,3.569278604,-9.15950557,2,1,16.27897172,0,9,3,0.194301409,1.925773794,1.587487503,62.10199964,6,52.81592455,0.699024827,10.73452912,-42.62558349,8.385782926,25.80804614,-0.551255138,0,1.937302114,3,1,2.524041095,3.34415179,86.2877024,-78,4,5.773673111,3.987036552,monthly,86.15829401,49:46.6,Premium,Great customer service experience,2,Service Experience
23,65.50748322,25.46377172,0.762093477,4,66.01037426,68.39590518,2,4,23.35115918,4,3.719243566,16.3509118,2,2,15.75950695,1,2,3,-0.084909185,-4.06811214,1.918938616,85.88461553,4,73.85861032,0.636942583,4.801186561,37.95215926,6.738978561,92.7952255,-0.289533936,6,7.517645813,1,0,9.555798781,4.613059396,65.14585095,87,4,7.198408546,3.157518681,2-year,39.29826437,49:46.6,Business,Bill is too high for the service quality,0,None
24,79.60875023,28.26349471,0.231354728,8,92.24391378,70.43674319,12,8,35.47033246,0,3.234917774,-16.04496101,1,0,18.64388256,1,1,3,-0.318473021,4.377922868,1.429274642,57.15781558,15,8.434513684,0.743951205,78.49121545,-24.80597876,6.890630201,67.29023602,0.953301111,0,4.772021898,1,1,4.909820847,2.643215948,88.99116791,-80,3,1.337106407,7.721889555,2-year,140.9218037,49:46.6,Basic,Bill is too high for the service quality,2,Service Experience
25,96.653297,26.65598935,0.451275991,4,140.880797,98.78463756,2,6,34.9379677,0,3.4997691,13.42763565,0,1,15.4041994,0,3,4,-0.064371408,3.266863037,1.558553597,66.45063069,7,113.7848474,0.709683042,38.46706248,-47.77498745,1.761849411,80.26768546,-0.551895176,9,1.597183967,4,0,0.089482739,4.915634398,91.31539051,93,2,6.270816944,0.612760398,monthly,50.33922917,49:46.6,Premium,Connection keeps dropping during work calls,1,Service Experience
26,159.1834327,-1.547147001,0.356094675,5,50.21130986,89.38834281,9,7,34.46702039,2,1.38635473,8.451651186,0,2,-19.67197162,0,8,2,-0.377168492,3.5750574,3.050335868,72.10138042,1,68.83269433,0.804441723,10.71125153,-36.41928944,9.55202145,4.93540432,0.123058146,3,2.56802977,1,1,0.928771895,2.440076214,16.73120759,78,3,1.027882329,6.466857274,annual,90.19001788,49:46.6,Basic,Service is terrible! Constant drops,1,Service Experience
27,47.93801861,21.72255906,0.638492579,7,41.21696355,87.98386132,8,8,13.48065092,2,4.807062065,-39.68110515,0,5,5.658434093,1,3,1,-0.123755306,4.066688146,2.284717036,59.61160023,7,60.93840176,0.991693438,76.26678164,15.91147419,1.962424571,59.85059682,-0.199092383,6,5.040768053,1,1,2.843244917,4.027218461,68.05618739,42,2,3.386605306,8.229930312,annual,89.41396468,49:46.6,Basic,Service is terrible! Constant drops,1,Billing Problems
28,107.7045433,20.67296391,0.788778254,0,99.85322237,94.11705535,13,6,11.29020942,4,4.163092255,-0.428105472,1,4,-17.27049268,1,4,3,-0.282174018,-0.913950293,2.692691358,72.49797882,13,100.7272765,0.649721855,84.91630701,47.78114891,6.069099779,52.76123314,0.536630596,5,0.196381973,3,1,0.921628417,2.221612334,31.75118638,-43,1,5.497158298,9.073072829,annual,55.67064931,49:46.6,Basic,Network quality has degraded significantly,1,Service Experience
29,122.5587681,-10.85397161,0.353918037,1,94.78965965,64.63292329,7,4,19.08849863,4,2.495711479,-19.51741324,0,1,-9.096228545,0,7,4,0.132409647,3.467007234,4.929959327,57.85814115,3,103.8915276,0.749090682,58.73861908,-38.85378604,3.970637204,29.29969069,0.734778544,5,4.241255881,0,0,8.939622255,1.423962194,83.64290545,-75,3,9.201532037,7.459165948,monthly,143.3407537,49:46.6,Business,Great customer service experience,2,Service Experience
30,18.82557842,19.73492845,0.592504761,8,53.15591858,88.23824946,4,4,65.93135692,1,3.251250444,-32.48275723,2,4,3.132305179,1,1,4,-0.524151676,-3.419386997,1.626817391,77.95032695,14,62.67124854,0.972794007,16.12368084,-3.805195188,4.868667805,26.24299851,-0.318325451,4,6.780614037,2,0,8.543515668,4.332226387,73.28515797,-42,4,2.139308344,2.824556789,2-year,59.68188624,49:46.6,Premium,Great customer service experience,2,Service Experience
31,125.4335219,-27.77954192,0.31885858,2,139.5747661,80.14754437,5,9,9.026760716,3,1.189298121,-1.914315103,2,3,8.024552736,0,2,4,0.97731311,-4.783582054,3.163248283,83.18566263,6,111.2714791,0.950749217,1.522247149,-31.93634491,6.491647098,58.00248023,0.320792727,6,5.177545853,4,0,9.708615089,4.050326107,19.87476875,-11,2,2.523602161,6.005074605,annual,162.3171794,49:46.6,Basic,Service is terrible! Constant drops,2,Service Experience
32,42.3995835,5.776192709,0.539198153,5,127.5050375,93.16602561,10,5,54.77718234,0,1.164911256,1.986250306,0,4,6.185281037,1,5,2,0.001739907,2.848913947,1.39548462,53.1217142,19,7.768531929,0.757708414,70.08024813,24.50365341,9.179662401,70.6485635,0.098095395,8,5.980995411,0,0,7.064656143,4.282516135,93.87307665,-56,1,7.023250579,1.414036109,2-year,72.37744216,49:46.6,Premium,Coverage is spotty in my area,2,Service Experience
33,22.35980267,-16.19946976,0.478359492,4,37.47746915,80.32566875,11,4,54.78593591,0,2.00319334,-37.40725769,2,1,-18.0376653,0,6,3,-0.611675845,-4.25203352,2.273985253,93.55660605,7,13.58709507,0.879581306,55.01396748,-38.19411002,5.118104112,3.317275704,-0.44311102,5,3.26618117,2,0,6.454645462,2.198778127,68.3479007,93,4,4.373755244,1.170606237,monthly,78.83887262,49:46.6,Business,Bill is too high for the service quality,2,Usage Issues
34,190.2882521,-22.76598685,0.783203198,1,39.67566909,84.80965417,9,8,58.49369868,4,3.758806569,14.01112774,0,4,-15.85584522,1,3,4,-0.045866501,4.885246673,3.110103695,59.25704425,10,71.6145876,0.635142805,65.07971417,-26.01582515,9.889565998,56.74015819,-0.456118394,9,1.83075724,0,1,9.234966379,3.814646502,94.86331032,62,2,6.610792617,6.386241421,annual,88.43381135,49:46.6,Basic,Long wait times for support,1,Billing Problems
35,193.4700863,-25.3828079,0.565116364,6,79.2835503,79.10968506,0,2,63.94969972,4,4.408590991,2.580307077,0,0,-14.85652748,1,0,4,0.732830259,1.747964296,4.786526984,61.26812127,1,42.48790342,0.885016422,81.31846702,-30.35940324,6.335308588,17.04595289,0.077263295,6,8.097412904,4,0,9.463931448,1.879691391,20.19111722,-7,1,9.977087504,8.511076546,annual,55.96793535,49:46.6,Basic,Happy with the service overall,1,Network Quality
36,163.5954961,11.77732655,0.409703823,3,117.1679548,79.12635694,9,2,19.67556861,1,3.23674352,15.33628494,2,1,-16.34342493,1,6,3,-0.956386414,2.534497102,2.564912885,83.067492,8,55.70701994,0.989143092,43.4227777,5.251978037,2.444985484,14.03627314,-0.691994253,8,9.056348714,3,0,8.774878429,1.045246145,86.97050944,9,4,9.881844952,0.672481257,2-year,103.8249627,49:46.6,Basic,Service is terrible! Constant drops,1,Service Experience
37,67.87661614,-9.607502174,0.268457471,0,11.38585501,90.71879912,11,6,16.94372232,3,3.128530958,-27.80487469,2,2,-12.87062307,0,8,2,0.359108238,-2.541961437,1.259626785,73.43755302,5,39.36950615,0.814995261,12.45154688,37.3184092,2.710083653,62.31194881,0.621619793,6,5.107405704,3,0,8.614728438,4.465955103,66.80728204,-37,4,4.183422215,1.060037321,annual,43.65527112,49:46.6,Premium,Long wait times for support,2,Service Experience
38,28.55770166,13.48600629,0.290748097,3,105.5335973,85.14265603,0,6,34.05090232,1,2.609238135,15.7534511,2,4,7.539511652,1,0,4,0.095935594,1.738653939,2.552645792,74.96977996,0,48.56703737,0.799396091,93.99832854,1.109020116,7.44499932,31.08701172,-0.861990322,5,3.050412126,3,0,6.717032554,3.094101948,55.22865938,-17,1,5.535328184,5.656073074,monthly,102.6097344,49:46.6,Premium,Bill is too high for the service quality,1,Billing Problems
39,140.004275,-26.07861955,0.335190158,5,98.99420512,85.33052806,3,5,19.82133098,3,1.646391824,-24.20376395,2,0,13.23349005,0,0,1,-0.660884011,-4.567800627,1.582964703,56.40774923,2,98.71756166,0.674927448,54.52621272,-44.17565472,1.453580148,44.08802331,-0.810851028,2,5.112048295,0,1,0.016059472,4.93461335,82.05128999,-24,4,9.142211428,2.18211861,2-year,87.78506251,49:46.6,Basic,Happy with the service overall,2,Service Experience
40,93.62897381,-11.08257973,0.350579997,6,38.56461391,78.01129935,1,2,53.13600922,0,1.473416405,-46.2221167,0,3,-3.647444397,0,0,0,0.634952879,3.378257199,1.919958453,90.28679109,9,71.21714398,0.85351528,61.52941191,6.33889306,5.323074186,35.99988094,-0.315547382,0,8.789855206,4,1,4.295170503,2.54014278,63.28638868,-74,2,1.829508962,6.118181228,2-year,87.50512603,49:46.6,Premium,Network quality has degraded significantly,2,Service Experience
41,33.18726462,2.369477543,0.710369635,6,103.7961869,81.24437985,10,6,46.15170995,1,4.042719045,3.40785721,2,3,7.711260257,0,9,0,-0.262230755,-3.30375907,3.472362493,80.85271231,4,119.6813459,0.836174912,93.34114296,29.75209993,2.333971988,64.83363202,-0.763816484,9,6.914063474,1,1,6.356627712,4.827492028,66.96001606,-14,2,5.070735135,2.145438253,annual,142.3146228,49:46.6,Premium,Connection keeps dropping during work calls,1,Billing Problems
42,104.0836129,17.44338989,0.536733673,6,141.3265627,89.82870665,6,4,63.12412585,4,4.710014205,-0.754429914,2,4,-11.99934955,0,6,0,-0.412395942,1.973580668,1.269695465,56.76910217,11,94.42550374,0.860773224,93.15836563,-36.78438027,4.898967717,47.01197661,-0.048599957,8,8.586160863,1,1,5.471273804,3.460229054,25.36705843,58,4,4.398196135,1.164819743,annual,160.7338887,49:46.6,Basic,Coverage is spotty in my area,2,Network Quality
43,16.53381901,-10.87484982,0.514034547,2,11.78394752,93.03763676,1,6,6.874419548,1,2.833132866,-8.146230542,1,3,18.93120607,1,8,2,0.656250384,-2.755194988,2.858895025,68.69996835,0,32.83995049,0.610433315,57.20946067,-42.72887857,7.749256799,96.3458662,-0.200648219,6,3.283794231,3,0,8.211266299,3.048820287,81.70536886,-89,0,3.653944954,5.455749822,annual,90.51974878,49:46.6,Basic,Network quality has degraded significantly,2,Service Experience
44,182.7708764,7.553482586,0.268861323,5,51.34954802,87.86245609,9,1,65.97091667,1,3.637782635,-15.70743789,2,2,-6.000099086,1,2,4,0.277050092,-4.315468306,3.437846344,90.52049664,8,31.72141413,0.819489395,29.76114247,-31.21922224,5.129316354,35.23827591,0.443619592,2,7.119791283,0,1,8.189022765,2.211238413,65.03027023,1,1,9.947837907,8.62195138,annual,74.54249765,49:46.6,Basic,Service is terrible! Constant drops,1,Service Experience
45,59.1681965,23.15866489,0.716083816,7,68.53562392,96.96291955,1,5,21.82775249,0,4.657830604,-47.74843108,2,1,13.83467625,1,7,0,0.796518167,-0.185063215,2.687433569,78.4177523,12,40.30779241,0.837973937,99.7113634,24.60863228,2.471059981,74.02843403,0.90600831,9,6.530489715,1,0,5.986820095,4.301105365,84.43891787,-56,0,7.601943646,6.851219722,2-year,114.0394039,49:46.6,Business,Coverage is spotty in my area,2,Usage Issues
46,135.879234,6.951791291,0.633688582,3,135.392752,92.81296353,4,7,35.83929856,4,1.360454532,-6.278192394,0,0,17.81465491,0,8,0,0.259767407,-3.307137897,1.076505402,55.43243896,18,101.1911377,0.683012054,68.081709,9.168041953,3.267328333,25.72925676,0.507117169,8,5.716164607,0,1,0.219940533,4.315178985,35.15269655,27,2,4.498722932,8.187251375,2-year,163.9122428,49:46.6,Basic,Network quality has degraded significantly,2,Network Quality
47,69.22510446,-16.02243151,0.240601017,7,144.5279098,82.47455159,3,0,32.14141195,4,4.081925812,-20.82157693,0,5,14.58855852,1,2,3,0.481635316,2.294439883,4.942077428,68.63885229,6,3.274518078,0.683333143,40.84366769,4.059465396,4.307856298,50.87530926,-0.641102674,2,5.282248652,4,1,3.693299523,2.667718129,33.17101224,-69,4,8.461197025,2.663351744,annual,139.5774017,49:46.6,Basic,Bill is too high for the service quality,2,Service Experience
48,108.812924,-28.53595311,0.624701058,1,69.39671074,86.85624291,7,3,54.98212723,2,3.467267538,-10.78534181,1,4,-17.31729394,0,2,4,0.672891793,-2.624341566,2.468463069,62.13471992,15,27.62175346,0.710487267,55.98368029,-25.05201054,1.626050651,55.25697519,0.871042571,2,5.509778831,3,0,2.288165853,3.909172568,2.39029646,-47,3,5.406994906,8.859786513,2-year,36.46022912,49:46.6,Basic,Service is terrible! Constant drops,2,Service Experience
49,113.8749531,22.20593243,0.52612293,9,113.7541198,97.05233108,3,0,30.84366497,2,3.394548715,-19.94750606,2,3,6.012286292,0,0,4,-0.890520728,-1.575274438,4.114308748,75.87327768,7,108.5902104,0.884688637,41.58340503,-16.77634048,6.259038725,32.91092811,-0.215733135,6,8.496710897,2,0,3.387881088,2.788951743,76.86053268,93,3,8.855419711,3.770391746,monthly,111.588019,49:46.6,Basic,Great customer service experience,0,None
50,45.12234655,-28.72383535,0.249035207,8,82.09084845,84.76672177,13,0,67.99227334,2,2.170161714,17.62392929,2,1,-15.19637174,0,1,3,0.552097918,0.674392513,2.302585969,92.16805644,18,76.78757233,0.842506425,88.83051523,46.58850129,6.467804122,47.17805289,-0.051621278,1,9.15994501,3,1,6.172926545,3.958637178,33.03143871,12,0,3.397418611,8.524476679,2-year,198.4640608,49:46.6,Basic,Network quality has degraded significantly,1,Usage Issues
51,194.2210793,22.48210036,0.474980385,8,82.97852554,92.99227792,11,9,65.07990567,0,3.735573419,-7.712376919,2,5,-19.77347998,1,6,4,0.227412964,-2.150317224,2.900067028,71.81335674,6,27.22165146,0.938305058,48.24993749,-25.93747733,1.559367344,27.92786379,-0.156847525,9,1.128604644,2,0,0.664619027,4.976760627,32.72123097,14,0,3.012402046,4.711755901,monthly,90.03167971,49:46.6,Basic,Coverage is spotty in my area,1,Billing Problems
52,157.2752364,1.736228042,0.490817772,7,45.32442968,87.55242014,5,7,62.92344179,1,4.179191019,2.446543142,2,2,-17.92866224,0,2,1,-0.860984407,-1.220118838,2.55385457,71.66710152,3,26.29739619,0.718263429,82.3528376,40.16454233,4.620801891,0.600078167,-0.438905953,6,5.687715776,1,0,0.22242049,2.049985255,68.86845155,-69,0,3.225580131,2.678576474,monthly,104.9218562,49:46.6,Basic,Coverage is spotty in my area,2,Service Experience
53,188.5047989,26.34406191,0.299464724,9,36.45865565,82.07745444,4,6,6.059341618,4,1.45143266,15.54428632,2,3,16.64596786,1,6,2,0.017155844,3.15621771,2.370156918,95.26754512,9,103.5141722,0.964827224,84.01762978,8.053150446,4.726006146,21.56483016,0.790088576,6,9.184084225,2,0,4.36872916,3.536209829,25.28689768,42,2,5.846325185,2.60258831,monthly,78.85914434,49:46.6,Basic,Connection keeps dropping during work calls,0,None
54,180.0171966,17.92699415,0.767418888,9,46.76077516,69.67352782,10,9,61.65232237,4,3.134085724,-8.588047396,2,3,16.33854057,1,4,3,-0.835083844,-3.207901504,1.087405509,78.80927063,0,107.250901,0.897482465,82.43323377,-37.67035336,4.004376117,70.00641725,-0.335522268,0,1.347399852,0,1,7.935738322,2.51951186,90.90204866,3,2,3.62182052,5.676678844,annual,114.6080972,49:46.6,Business,Great customer service experience,1,Billing Problems
55,123.600996,29.87604663,0.709985223,0,85.66756105,77.03990078,13,0,56.49611663,1,1.405060724,-49.15562375,1,0,-10.96702449,1,9,0,0.471894403,-4.177984105,2.440083751,78.30955437,16,30.73573092,0.758004668,72.21886125,-3.268762184,6.019657663,77.09630245,0.157192939,9,4.128593733,2,1,0.306985746,3.193486255,53.80659913,-46,4,2.324077157,0.790102702,2-year,57.35662484,49:46.6,Premium,Long wait times for support,2,Service Experience
56,185.1561047,-8.957291073,0.601413402,1,9.227501973,98.70971299,1,1,8.349419237,4,4.490296077,-47.59958252,2,2,1.882448592,0,7,4,0.093003428,-1.716422149,4.557959962,63.09549459,12,50.46124297,0.638104826,85.48777168,44.85487174,4.113617411,28.02028671,-0.519932831,1,0.890801714,1,1,8.490485851,4.496589121,96.9477236,-60,2,9.951651267,9.300561946,monthly,71.99231879,49:46.6,Business,Happy with the service overall,2,Service Experience
